"pathway","pval","padj","log2err","ES","NES","size","genes"
"MIR_713",0.835897435897436,0.942387188159454,0.0466948041282054,0.261715557929797,0.770088036953611,95,"Gosr2,Scart2,Tmem43,Gsn,Rffl,Mapk14,Dcaf17,Elovl7,Rad51d,Uchl5,Msc,Wdr1,Sec61a2,Mrpl1,Kras,Serp1,Rnf34,Rnf139,Ptgr1,Mex3b,Far1,Zfp367,Cfap97,Map2k6,Yeats2,Prkci,Zfp513,Mdh1,Acat2,Ctxn1,Gsk3b,Rdx"
"MIR_12187_5P",0.842233009708738,0.943678442250687,0.0626618230932491,-0.255293175594357,-0.737469407769411,73,"Ncald,Ash1l,Septin6,Atp13a3,Senp7,Mink1,Jrkl,Kdm5c,Zfp609,Dusp10,Rfx3,Rapgef2"
"MIR_1251_3P",0.838983050847458,0.943678442250687,0.0461379160269737,0.263826324799034,0.758162176811776,74,"Myadm,Ppp2r1b,Cep120,Reep4,Gclc,Kctd2,Rnf19a,Slc19a2,Jchain,Tdrp,Nr1d2,Kctd9,Camta1,Mitd1,Larp4b,Arhgap5,Pcsk7"
"MIR_3087_3P",0.839416058394161,0.943678442250687,0.0629394692018967,-0.262417383352081,-0.750277843387538,70,"Slc9a1,Ddx51,Scai,Atxn7l3,Myef2,Fndc3a,Med13l,Nfat5,Fyn,Larp4,Cwf19l2,Aak1,Fbxo5,Cd226,Eml5,Desi1,Mapk6,Srrm2,Rimoc1,Scrn3,Fam199x,Smarcad1"
"MIR_5128",0.838312829525483,0.943678442250687,0.0478299633114229,0.305084292082919,0.703274737240725,17,"Klf11,Uchl5"
"MIR_5615_3P",0.84029484029484,0.943678442250687,0.0633597010643758,-0.260705319287464,-0.755406500166801,77,"Arfgef1,Slc35e1,Gpr183,Usf3,Atp2b1,Ttc3,Lnpk,Scai,Aff4,Bdh1,Fyn,Mbnl1,Slc35e2,Flywch1,Trmt11,Dzank1"
"MIR_669K_3P",0.837974683544304,0.943678442250687,0.0649407684612899,-0.250780849542906,-0.766753435383408,125,"Ipo5,Clasp2,Agfg1,Atp11a,Med13,Cep170,Baz2a,Dicer1,Hif1a,Srpk2,Zfp800,Rock1,Tdrd3,Elf2,Hipk3,Mbnl1,Cltc,Frs2,Mier1,Arglu1,Cpeb4,Mapk1,Zdhhc15,Mbtps1,Cxadr,Chd9,Fkrp"
"MIR_6986_5P",0.841491841491842,0.943678442250687,0.0607719451853533,-0.258955121763183,-0.730737077297334,56,"Wdr81,Ntrk3,Bahd1,Rbm28,Clstn1,Wdtc1,Nfic,Ptpa,Limk1,Hs6st1,Camk1d,Gnai2,Sh3pxd2a,Kif2c,Kdm2a,Zbtb4,Jak3,Rad54b,Zfp446,Ccdc97,Kdm6b"
"MIR_7012_3P",0.840909090909091,0.943678442250687,0.0474483193656297,0.286057192171872,0.727733719275319,28,"Phtf2,Zfp386,Eloa,Rfng"
"MIR_7217_3P",0.840909090909091,0.943678442250687,0.0474483193656297,0.269765678544906,0.752697728615426,62,"Eif5a2,Zfp386,Numb,Rer1,Map3k8,Phtf1,Bag1,Myo6,Seh1l,Camta1,Map2k6,Btg2,Zfyve1,Rcsd1,Samd10,Syt11,Guf1,B3glct,Eif4g2,Mat2a,Esyt2,Adarb1,Adk,Uqcrq"
"MIR_7220_3P",0.838541666666667,0.943678442250687,0.0472587336673259,0.263374768122355,0.77201214106235,88,"Agpat5,Ssbp2,Ankrd27,Ostm1,Pip4p2,Timm22,Serpina3f,Erlin2,Pramel12,Pfkfb2,Thumpd1,Tspan13,Flot1,Nr1d2,Slc25a3,Map3k12,Ide,Wdr6"
"MIR_7647_3P",0.842105263157895,0.943678442250687,0.0598603117764473,-0.266206176167737,-0.730109992334759,46,"Ubash3b,Ddx21,Ppwd1,Zfp277,Cpne9,Txlng,Spats2,Arl15,Zfc3h1,Dennd2d,Atxn7,Kdm7a"
"MIR_1298_5P",0.844290657439446,0.944396708545242,0.046788296531803,0.289274547540215,0.699736646889812,22,"Armc8,Eif4enif1,E2f4,Guf1,Xk,Cntn1,Nkd1"
"MIR_379_3P_MIR_411_3P",0.843373493975904,0.944396708545242,0.062249042949858,-0.253837130882335,-0.770180155571116,109,"Cdk6,Pcm1,Utrn,Nlk,Tcaim,Clcn3,Cep170,Atp2b1,Abca1,Cp,Rbm26,Dusp10,Usp34,Smurf2,Lrrtm2,Prr7,Pgap1,Socs6,Phip,N4bp2l2,Cacnb4,Tent4b,Etnk1,Ube3a,Kdm2b,Synj2bp,Csnk2a2,Tceal9"
"MIR_669J",0.844112769485904,0.944396708545242,0.0448645113168564,0.248150008688599,0.769624660206118,139,"Ssbp2,Aldoc,Armc8,Atosa,Fech,Plin3,Rap2c,Klhl5,Pip4p2,Rtn4rl1,Rab7,Stt3a,Lman2l,Rngtt,Paxbp1,Taf1b,Prkar2b,Map3k8,Pdp1,Traf3ip1,Tshz1,Plscr4,1700010I14Rik,Mfsd6,Kctd9,Dennd6a,Seh1l,Plpbp,Sri,Zfp763"
"MIR_1936",0.845433255269321,0.945146176936077,0.0607719451853533,-0.253993538031944,-0.724764815103287,64,"Pola1,Ralgapa2,Tut4,Snrpd1,Ikzf1,Eef1d,Bicd1,Nsd3,L2hgdh,Syncrip,Dido1"
